Path,Width,Height,Megabytes,Format
images/sections/events/kayamut-community-2024/466655549_996459689145710_5633860955829696852_n.jpg,2048,1365,0.32,JPEG
images/sections/illustrations/1-recovered-wide.webp,1125,2000,0.32,WEBP
images/sections/events/building-on-quality-2025/planning25-092-wide.webp,2000,1333,0.31,WEBP
images/sections/events/ofek/asi0027-websize-wide.webp,2000,1333,0.31,WEBP
images/sections/branding/matanya-bread/1-wide.webp,2000,1500,0.30,WEBP
images/sections/events/health-il-2019/5-wide.webp,1885,1256,0.30,WEBP
images/sections/events/kayamut-2022/476433901_1057424033049275_5520132546036160827_n.jpg,1600,1067,0.30,JPEG
images/sections/events/kayamut-2022/476748218-1057423856382626-118652543843709729-n-wide.webp,1600,1067,0.30,WEBP
images/sections/events/ofek/ASI0010_websize.jpg,2048,1365,0.30,JPEG
images/sections/illustrations/35-wide.webp,2000,2000,0.30,WEBP
images/sections/branding/eretz-ir/12-wide.webp,2000,2000,0.29,WEBP
images/sections/events/health-il-2019/0-wide.webp,2000,1332,0.29,WEBP
images/sections/events/health-il-2019/7.jpg,1698,1131,0.29,JPEG
images/sections/events/ofek/ASI0023_websize.jpg,2048,1365,0.29,JPEG
images/sections/events/planners-2025/yearly-convention-3-wide.webp,1280,1920,0.29,WEBP
images/sections/events/planners-2025/yearly-convention-37-wide.webp,1920,1280,0.29,WEBP
images/sections/events/planners-2025/yearly-convention-90-wide.webp,1280,1920,0.29,WEBP
images/sections/branding/athena/02-wide.webp,2000,1999,0.28,WEBP
images/sections/events/building-on-quality-2025/planning25-024-wide.webp,2000,1333,0.28,WEBP
images/sections/events/building-on-quality-2025/whatsapp-image-2025-09-16-at-11-46-52-wide.webp,1500,2000,0.28,WEBP
images/sections/events/health-il-2019/4-wide.webp,2000,839,0.28,WEBP
images/sections/events/jewish-agency/mg-9517-wide.webp,2000,1334,0.28,WEBP
images/sections/events/kayamut/heschel25-081-wide.webp,2000,1333,0.28,WEBP
images/sections/events/kayamut-2022/476248801_1057424113049267_2828390857167364224_n.jpg,1067,1600,0.28,JPEG
images/sections/events/ofek/ASI0046_websize.jpg,2048,1365,0.28,JPEG
images/sections/events/ofek/asi0129-websize-wide.webp,2000,1333,0.28,WEBP
images/sections/events/ofek/asi0400-websize-1-thumb.webp,1200,1200,0.28,WEBP
images/sections/events/ofek/asi0400-websize-thumb.webp,1200,1200,0.28,WEBP
images/sections/events/planners-2025/yearly-convention-5-wide.webp,1920,1280,0.28,WEBP
images/sections/illustrations/דני-13.jpg,1080,1080,0.28,JPEG
images/sections/events/building-on-quality-2025/planning25-125-wide.webp,2000,1333,0.27,WEBP
images/sections/events/building-on-quality-2025/planning25-576-wide.webp,2000,1333,0.27,WEBP
images/sections/events/building-on-quality-2025/planning25-011-wide.webp,2000,1333,0.26,WEBP
images/sections/events/jewish-agency/mg-9570-thumb.webp,1200,1200,0.26,WEBP
images/sections/events/jewish-agency/mg-9705-2-thumb.webp,1200,1200,0.26,WEBP
images/sections/events/planners-2025/yearly-convention-4-wide.webp,1920,1280,0.26,WEBP
images/sections/branding/athena/03-wide.webp,2000,1999,0.25,WEBP
images/sections/events/kayamut-2022/22-thumb.webp,1200,1067,0.25,WEBP
images/sections/events/kayamut-community-2024/466392176-996461395812206-8663560867627433290-n-wide.webp,2000,1333,0.25,WEBP
images/sections/events/ofek/ASI0033_websize.jpg,2048,1365,0.25,JPEG
images/sections/events/ofek/ASI0855_websize.jpg,2048,1365,0.25,JPEG
images/sections/events/planners-2025/yearly-convention-36-wide.webp,1920,1280,0.25,WEBP
images/sections/events/planners-2025/yearly-convention-38-wide.webp,1920,1280,0.25,WEBP
images/sections/events/planners-2025/yearly-convention-7-wide.webp,1920,1280,0.25,WEBP
images/sections/illustrations/07-thumb.webp,1080,1080,0.25,WEBP
images/sections/illustrations/07-wide.webp,1080,1080,0.25,WEBP
images/sections/branding/gaya/37-thumb.webp,1200,1200,0.24,WEBP
images/sections/events/building-on-quality-2025/planning25-014-wide.webp,2000,1333,0.24,WEBP
images/sections/events/building-on-quality-2025/planning25-069-thumb.webp,1200,1200,0.24,WEBP
images/sections/events/health-il-2019/8.jpg,1698,1131,0.24,JPEG
images/sections/events/planners-2025/yearly-convention-1-wide.webp,1920,1280,0.24,WEBP
images/sections/events/planners-2025/yearly-convention-138-thumb.webp,1200,1200,0.24,WEBP
images/sections/events/planners-2025/yearly-convention-39-wide.webp,1280,1920,0.24,WEBP
images/sections/events/planners-2025/yearly-convention-93-thumb.webp,1200,1200,0.24,WEBP
images/sections/events/planners-2025/yearly-convention-96-wide.webp,1920,1280,0.24,WEBP
images/sections/illustrations/דני-11.jpg,1080,1080,0.24,JPEG
images/sections/illustrations/דני-15.jpg,1080,1080,0.24,JPEG
images/sections/events/autojob/img-2628-wide.webp,1500,2000,0.23,WEBP
images/sections/events/autojob/img-2629-wide.webp,2000,1500,0.23,WEBP
images/sections/events/building-on-quality-2025/planning25-016-wide.webp,2000,1333,0.23,WEBP
images/sections/events/kayamut/heschel25-002-wide.webp,2000,1333,0.23,WEBP
images/sections/events/kayamut-2022/476748218-1057423856382626-118652543843709729-n-thumb.webp,1200,1067,0.23,WEBP
images/sections/events/ofek/asi0008-thumb.webp,1200,1200,0.23,WEBP
images/sections/events/building-on-quality-2025/planning25-037-wide.webp,2000,1333,0.22,WEBP
images/sections/events/building-on-quality-2025/planning25-072-wide.webp,2000,1333,0.22,WEBP
images/sections/events/jewish-agency/mg-9509-wide.webp,2000,1334,0.22,WEBP
images/sections/events/kayamut-community-2024/466913029-996461442478868-2471575273199627420-n-wide.webp,2000,1333,0.22,WEBP
images/sections/events/kayamut-community-2024/466914257-996459939145685-912842190047332796-n-wide.webp,2000,1333,0.22,WEBP
images/sections/events/planners-2025/yearly-convention-55-thumb.webp,1200,1200,0.22,WEBP
images/sections/branding/eretz-ir/15-wide.webp,2000,2000,0.21,WEBP
images/sections/events/autojob/img-2620-thumb.webp,1200,1200,0.21,WEBP
images/sections/events/building-on-quality-2025/planning25-066-wide.webp,2000,1333,0.21,WEBP
images/sections/events/kayamut-community-2024/466971795-996460175812328-307130429571726631-n-wide.webp,2000,1333,0.21,WEBP
images/sections/events/ofek/ASI0863_websize.jpg,2048,1365,0.21,JPEG
images/sections/events/planners-2025/yearly-convention-70-copy-thumb.webp,1200,1200,0.21,WEBP
images/sections/events/planners-2025/yearly-convention-70-thumb.webp,1200,1200,0.21,WEBP
images/sections/illustrations/1-recovered-thumb.webp,1200,1200,0.21,WEBP
images/sections/events/health-il-2019/4-thumb.webp,1200,1200,0.20,WEBP
images/sections/events/health-il-2019/5-thumb.webp,1200,1200,0.20,WEBP
images/sections/events/jewish-agency/mg-0012-2-thumb.webp,1200,1200,0.20,WEBP
